"","spp_x","spp_y"
"Black & Deacon",0.208662364281798,-0.452553263283123
"Cabezon",-0.402811751259612,-0.234335956043642
"Canary",0.519461270265033,0.0887937369582994
"China",0.0533329727642104,-0.0142297684293278
"Copper",0.140556833969509,-0.0748627279851436
"Greenling",-0.0591275946642345,-0.0399260203035567
"Lingcod",0.0296562236843781,-0.279145556634711
"Quillback",0.121961534524876,-0.273176071864443
"Tiger",-0.0155552732110464,-0.43652896040258
"Widow",-1.38557540431155,-0.743408966725926
"Yellowtail",0.440556113884239,0.00991297900899579
"YOY",1.6897388042246,-0.0762830976717029
"Vermillion",0.0568565789643727,-0.043407736017825
"Yelloweye",0.545727561414748,-0.150580212327595
