record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
11,NorsemanII_Oct2028,10/17/2018,23:37:17,10/17/2018,16:37:17, 47 58.09 N, 124 57.03 W,47.9682,-124.9505,381,5,,10.279,10.193,11.8095,,2,,32.3808,,2,,24.591,,9.0183,,9.0183,2,,9.878319628,,,9.878319628,301.3,2,,,,,,,2.256,0.159,0.160,0.537,5.423,2,4.0372,,,,,,,,,2184,2,1990,2,
12,NorsemanII_Oct2029,10/17/2018,23:37:36,10/17/2018,16:37:36, 47 58.09 N, 124 57.03 W,47.9682,-124.9505,381,6,,1.607,1.594,12.4833,,2,,32.3102,,2,,24.4097,,9.8877,,9.8877,2,,10.61044487,,,10.61044487,323.7,2,,,,,,,0.360,0.100,0.127,0.401,3.775,2,4.6128,,,,,,,,,2183.8,2,1964.2,2,
13,NorsemanII_Oct2030,10/18/2018,15:38:09,10/17/2018,8:38:09, 48 23.81 N, 124 26.00 W,48.3968,-124.4333,123,1,,218.143,216.215,7.5688,,2,,33.895,,2,,26.4717,,2.2169,,2.2169,2,,2.174308215,,,2.174308215,66.2,2,,,,,,,33.311,0.060,0.019,2.491,49.880,2,-0.0491,,,,,,,,,2260.9,2,2255.5,2,
14,NorsemanII_Oct2031,10/18/2018,15:45:26,10/17/2018,8:45:26, 48 23.81 N, 124 26.00 W,48.3968,-124.4333,123,2,,80.308,79.624,8.1774,,2,,33.6383,,2,,26.1794,,2.7481,,2.7481,2,,2.705384831,,,2.705384831,82.4,2,,,,,,,30.689,0.225,0.024,2.369,46.278,2,0.0595,,,,,,,,,2244.5,2,2235.3,2,
15,NorsemanII_Oct2032,10/18/2018,15:46:36,10/17/2018,8:46:36, 48 23.81 N, 124 26.00 W,48.3968,-124.4333,123,3,,50.514,50.088,8.6812,,2,,33.2871,,2,,25.8274,,3.2078,,3.2078,2,,3.090423442,,,3.090423442,94.1,2,,,,,,,28.814,0.270,0.071,2.268,42.332,2,0.04,,,,,,,,,2227.1,2,2206.4,2,
16,NorsemanII_Oct2033,10/18/2018,15:47:38,10/18/2018,8:47:38, 48 23.81 N, 124 26.00 W,48.3968,-124.4333,123,4,,20.201,20.032,9.4286,,2,,32.5382,,2,,25.1236,,5.3714,,5.3714,2,,5.579882927,,,5.579882927,170.1,2,,,,,,,27.376,0.276,0.199,2.241,43.754,2,1.3806,,,,,,,,,2192.2,2,2153.3,2,
17,NorsemanII_Oct2034,10/18/2018,15:47:57,10/18/2018,8:47:57, 48 23.81 N, 124 26.00 W,48.3968,-124.4333,123,5,,10.189,10.104,9.4583,,2,,32.4859,,2,,25.0779,,5.366,,5.366,2,,5.267014954,,,5.267014954,160.6,2,,,,,,,27.476,0.274,0.177,2.256,44.690,2,1.1309,,,,,,,,,2191.4,2,2156.4,2,
18,NorsemanII_Oct2035,10/18/2018,15:48:17,10/18/2018,8:48:17, 48 23.81 N, 124 26.00 W,48.3968,-124.4333,123,6,,1.398,1.386,9.4913,,2,,32.4171,,2,,25.0187,,4.9061,,4.9061,2,,5.028348784,,,5.028348784,153.3,2,,,,,,,27.201,0.268,0.340,2.259,45.379,2,0.7326,,,,,,,,,2183.3,2,2150.8,2,
19,NorsemanII_Oct2036,10/18/2018,17:22:13,10/17/2018,10:22:13, 48 21.12 N, 124 16.06 W,48.352,-124.2677,128,1,,208,206.166,7.556,,2,,33.8951,,2,,26.4735,,2.1582,,2.1582,2,,2.115522513,,,2.115522513,64.4,2,,,,,,,33.228,0.043,0.036,2.508,50.599,2,-0.0384,,,,,,,,,2262.2,2,2255.6,2,
20,NorsemanII_Oct2037,10/18/2018,17:22:13,10/17/2018,10:22:13, 48 21.12 N, 124 16.06 W,48.352,-124.2677,128,2,,80,79.319,8.229,,2,,33.639,,2,,26.1722,,3.2615,,3.2615,2,,3.218049679,,,3.218049679,98,2,,,,,,,29.377,0.096,0.036,2.215,40.366,2,0.0359,,,,,,,,,2244.6,2,2218.2,2,
