record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
59,  AQ201610,10/25/2016,06:05:36,10/24/2016,23:05:36, 48 13.44 N, 123 28.94 W,48.22448,-123.47988,136,11,,1.236,1.225,10.1678,10.1673,,,31.5624,31.5602,,,24.2413,24.2397,5.7189,6.3104,6.01465,,,,,,,,,,,,,,,,,,,,,0.6247,,,,,,,,,,,,,
60,  AQ201610,10/25/2016,06:05:36,10/24/2016,23:05:36, 48 13.44 N, 123 28.94 W,48.22448,-123.47988,136,12,,1.188,1.178,10.1665,10.1664,,,31.5625,31.5602,,,24.2416,24.2398,5.7179,6.2705,5.9942,,,6.39,,,6.39,,,,,,,,,23.81708567,0.359569371,0.445398889,2.271159185,46.69403211,,0.5792,0.615169389,,0.615169389,,0.312639526,,0.312639526,,2143.8,2,2092.5,2,
61,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96366,-124.96082,381,1,,94.652,93.836,11.6177,11.6162,,,32.8791,32.8778,,,25.0152,25.0144,6.8625,6.9998,6.93115,,,7.12,,,7.12,,,,,,,,,8.122982289,0.395928867,3.424246793,1.27644326,15.6419506,,7.7722,,,,,,,,,2213.2,2,2080.2,2,
62,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96366,-124.96102,381,2,,84.607,83.881,11.8439,11.842,,,32.8093,32.8078,,,24.9191,24.9182,7.0489,7.2442,7.14655,,,7.44,7.4,,7.42,,,,,,,,,7.131623744,0.378888384,3.293558952,1.16806482,13.89288131,,7.7868,,,,,,,,,2211,2,2068.5,2,
63,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96408,-124.96114,381,3,,59.323,58.817,12.2703,12.2687,,,32.716,32.7142,,,24.7663,24.7651,7.3111,7.6436,7.47735,,,7.79,,,7.79,,,,,,,,,5.63318263,0.305857139,2.630883377,0.976762304,10.1561174,,7.7615,,,,,,,,,2200.9,2,2047.9,2,
64,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.9641,-124.96116,381,4,,60.382,59.867,12.2454,12.244,,,32.7264,32.7248,,,24.7791,24.7781,7.3272,7.6868,7.507,,,,,,,,,,,,,,,,,,,,,7.7848,,,,,,,,,,,,,
65,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96432,-124.96126,381,5,,40.043,39.704,12.6634,12.6627,,,32.3027,32.3007,,,24.3704,24.369,7.8913,8.023,7.95715,,,8.57,,,8.57,,,,,,,,,3.007874478,0.236407592,0.265530263,0.673477711,6.694177658,,8.1797,0.737749268,,0.737749268,,0.46794301,,0.46794301,,2170.8,2,1997.8,2,
66,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96452,-124.96099,381,6,,30.152,29.897,12.7136,12.712,,,32.2729,32.2713,,,24.3374,24.3365,7.9365,8.5209,8.2287,,,8.7,,,8.7,,,,,,,,,0,0.149035745,0.001011349,0.62368508,6.046961098,,8.3116,0.89664911,,0.89664911,,0.550181624,,0.550181624,,2167.4,2,1991.1,2,
67,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96474,-124.96047,381,7,,19.275,19.112,12.7084,12.7075,,,32.2741,32.272,,,24.339,24.3376,7.9031,8.3833,8.1432,,,8.66,,,8.66,,,,,,,,,0,0.145379951,-9.41E-05,0.628390714,6.318363104,,8.304,0.907999099,,0.907999099,,0.584762769,,0.584762769,,2172.8,2,1991.7,2,
68,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.9649,-124.95982,381,8,,12.045,11.943,12.7151,12.7143,,,32.2753,32.2733,,,24.3386,24.3372,7.8875,-0.1622,3.86265,,,8.9,,,8.9,,,,,,,,,0,0.135096768,0.000943265,0.639776731,6.319384972,,8.2188,0.885299121,,0.885299121,,0.481152127,,0.481152127,,2168.7,2,1992.8,2,
69,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96512,-124.95958,381,9,,4.842,4.801,12.7063,12.7051,,,32.2763,32.2747,,,24.3409,24.3398,7.9082,12.0035,9.95585,,,8.98,,,8.98,,,,,,,,,0,0.144695401,0.321866825,0.648576035,6.26379364,,8.0997,0.98744902,,0.98744902,,0.551243983,,0.551243983,,2167.5,2,1994,2,
70,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96514,-124.95958,381,10,,5.075,5.032,12.7031,12.7024,,,32.2769,32.275,,,24.3419,24.3406,7.904,5.5177,6.71085,,,,,,,,,,,,,,,,,,,,,8.1037,,,,,,,,,,,,,
71,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96517,-124.95958,381,11,,4.782,4.742,12.7017,12.7003,,,32.2766,32.2751,,,24.3419,24.341,7.9071,9.0146,8.46085,,,,,,,,,,,,,,,,,,,,,8.0902,,,,,,,,,,,,,
72,  AQ201610,10/26/16,20:09:03,10/26/16,13:09:03, 47 57.77 N, 124 57.60 W,47.96528,-124.95959,381,12,,1.466,1.454,12.7074,12.7061,,,32.2762,32.2745,,,24.3404,24.3394,7.8848,7.5282,7.7065,,,8.69,8.7,,8.695,,,,,,,,,0,0.14922228,0.047508946,0.666581473,6.126673358,,8.0122,0.885299121,,0.885299121,,0.538566045,,0.538566045,,2168.3,6,1993.9,6,
73,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.70554,-122.45366,28,1,,188.47,186.808,11.7653,11.7638,,,30.8761,30.8714,,,23.4352,23.4318,5.3733,6.0073,5.6903,,,5.28,,,5.28,,,,,,,,,2.17400392,0.179719552,0.001263674,2.590003772,58.2334447,,0.1318,,,,,,,,,2115.5,2,2076,2,
74,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.70658,-122.45356,28,2,,111.624,110.661,11.5547,11.5519,,,30.6108,30.6068,,,23.2652,23.2626,5.7399,6.2741,6.007,,,6.07,,,6.07,,,,,,,,,1.013420277,0.073231024,-0.001151785,2.407202638,52.92189792,,0.1596,,,,,,,,,2093.5,2,2055,2,
75,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.7071,-122.45354,28,3,,81.237,80.542,11.7513,11.7499,,,30.5931,30.5904,,,23.2157,23.2138,5.798,-0.9222,2.4379,,,6.02,,,6.02,,,,,,,,,1.220368822,0.085463264,0.001049799,2.429992697,53.15484878,,0.1401,,,,,,,,,2089.5,2,2053.6,2,
76,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.70711,-122.45353,28,4,,81.339,80.643,11.7688,11.7695,,,30.5923,30.5896,,,23.2119,23.2097,5.8016,-0.7815,2.51005,,,,,,,,,,,,,,,,,,,,,0.1555,,,,,,,,,,,,,
77,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.70762,-122.45346,28,5,,50.728,50.297,12.19,12.1893,,,30.535,30.5326,,,23.0901,23.0885,5.6228,-0.683,2.4699,,,5.91,,,5.91,,,,,,,,,1.230931997,0.092625016,0.000465736,2.407627212,52.84218335,,0.1614,0.21110979,,0.21110979,,0.25049811,,0.25049811,,2093.4,2,2051.5,2,
78,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.70802,-122.45342,28,6,,30.411,30.155,12.2829,12.2822,,,30.4837,30.4814,,,23.0328,23.0311,5.3843,-0.6917,2.3463,,,5.91,,,5.91,,,,,,,,,0.568366479,0.197149181,0.001496179,2.415322319,53.0477328,,0.197,0.249699752,,0.249699752,,0.215352984,,0.215352984,,2084.5,2,2048.2,2,
79,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.7083,-122.45342,28,7,,20.178,20.008,12.3653,12.3644,,,30.3799,30.3776,,,22.9369,22.9353,5.6523,-0.7626,2.44485,,,6.03,,,6.03,,,,,,,,,1.708760368,0.274428286,-0.001071758,2.402268455,53.36482271,,0.339,0.37227963,,0.37227963,,0.258125189,,0.258125189,,2083.2,2,2037.8,2,
80,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.70848,-122.45332,28,8,,9.982,9.899,12.3789,12.3775,,,29.8484,29.8419,,,22.5225,22.5177,6.5378,-0.3873,3.07525,,,6.27,,,6.27,,,,,,,,,1.357002745,0.341770431,0.404599671,2.407787368,53.73163891,,0.9048,0.703699301,,0.703699301,,0.444579059,,0.444579059,,2072.2,2,2027.7,2,
81,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.70868,-122.4533,28,9,,4.834,4.794,12.3198,12.3166,,,29.6141,29.6085,,,22.3518,22.3481,7.0298,-0.6926,3.1686,,,7.05,,,7.05,,,,,,,,,4.244073206,0.36692242,0.079980828,2.333407905,55.80270557,,1.2358,1.441448569,,1.441448569,,0.648418046,,0.648418046,,2049.4,2,1996.6,2,
82,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.7087,-122.4533,28,10,,4.814,4.773,12.3223,12.3184,,,29.6166,29.6119,,,22.3533,22.3504,6.9153,-1.189,2.86315,,,,,,,,,,,,,,,,,,,,,1.2546,,,,,,,,,,,,,
83,  AQ201610,10/27/2016,14:14:43,10/27/2016,7:14:43, 47 42.21 N, 122 27.25 W,47.70871,-122.4533,28,11,,4.838,4.797,12.3277,12.3269,,,29.626,29.624,,,22.3596,22.3582,6.904,-1.0312,2.9364,,,,,,,,,,,,,,,,,,,,,1.2446,,,,,,,,,,,,,
